Customer ID,frequency,recency,T,monetary_value,predicted_monetary_value,predicted_purchases,predicted_clv,CLV_Segment_quantile,CLV_Segment,Country
12346.0,7.0,400.0,726.0,11066.637142857144,9520.105774197515,0.06564242106365746,624.92279180043,2,High-Value,United Kingdom
12347.0,7.0,402.0,405.0,717.3985714285715,672.7299766677085,0.19343267574956424,130.12795944377677,2,High-Value,Iceland
12348.0,4.0,363.0,439.0,449.31,440.21299002319034,0.10662277652265682,46.93673125761318,1,Medium-Value,Finland
12349.0,3.0,571.0,590.0,1120.0566666666666,918.4879604167098,0.06541536754672407,60.08322751790002,2,High-Value,Italy
12352.0,8.0,356.0,393.0,338.26125,347.48581792141863,0.2221000399980491,77.17661405910188,2,High-Value,Norway
12353.0,1.0,204.0,409.0,89.0,263.08600523213727,0.037801010621295664,9.944916878094267,0,Low-Value,Bahrain
12355.0,1.0,353.0,568.0,459.4,432.35241605251633,0.028968778061706706,12.524721185068026,0,Low-Value,Bahrain
12356.0,5.0,402.0,425.0,1092.648,961.4877380323043,0.13593216945431455,130.6971141344528,2,High-Value,Portugal
12357.0,1.0,355.0,389.0,6207.67,3059.212651815099,0.041915198676531214,128.2275060945878,2,High-Value,Switzerland
12358.0,4.0,730.0,732.0,614.3100000000001,567.4231116129903,0.06889479940307885,39.09250145124779,1,Medium-Value,Austria
12359.0,9.0,677.0,735.0,908.3611111111111,850.1890236832675,0.14202888585973103,120.75139980390695,2,High-Value,Cyprus
12360.0,7.0,603.0,656.0,590.6985714285713,564.4164513962262,0.12479896983311188,70.43859169110969,2,High-Value,Austria
12361.0,3.0,395.0,683.0,134.01666666666668,212.20050991169174,0.05126130543594284,10.877675152246045,0,Low-Value,Belgium
12362.0,10.0,735.0,739.0,522.6229999999999,510.61818341675945,0.15775205755593832,80.55106905946931,2,High-Value,Belgium
12363.0,1.0,133.0,243.0,252.9,337.98547805465387,0.05940826550984946,20.079131018744278,1,Medium-Value,Unspecified
12364.0,3.0,105.0,113.0,229.7266666666667,280.75632092122004,0.2413471672632917,67.7597427456001,2,High-Value,Belgium
12369.0,2.0,228.0,642.0,721.415,605.1979421925588,0.033840858048077176,20.4804176527268,1,Medium-Value,Austria
12370.0,5.0,617.0,669.0,751.47,685.8224888602394,0.0903742324053168,61.980680997048076,2,High-Value,Cyprus
12370.0,5.0,617.0,669.0,751.47,685.8224888602394,0.0903742324053168,61.980680997048076,2,High-Value,Austria
12371.0,3.0,601.0,646.0,1153.2333333333333,942.2519692969327,0.060027472901809514,56.561004553648274,2,High-Value,Switzerland
12372.0,2.0,225.0,297.0,449.41,434.56916429546095,0.0836950149582401,36.3712727060985,1,Medium-Value,Denmark
12373.0,2.0,362.0,674.0,344.875,368.99434288602686,0.03803280608584862,14.033890289759395,0,Low-Value,Austria
12374.0,2.0,563.0,589.0,800.34,654.7076067043452,0.0472623927955497,30.94304807429503,1,Medium-Value,Austria
12375.0,1.0,88.0,99.0,227.20000000000002,326.24102136436295,0.11661723271408642,38.045325109329156,1,Medium-Value,Finland
12376.0,1.0,28.0,418.0,70.6,254.6775226211897,0.024108080318460706,6.139786170658234,0,Low-Value,Switzerland
12377.0,3.0,274.0,590.0,738.4533333333334,645.1505244057807,0.05253534818941068,33.89320743423858,1,Medium-Value,Switzerland
12378.0,1.0,433.0,563.0,4008.62,2054.2847341192173,0.029852208361048065,61.3249359158471,2,High-Value,Switzerland
12379.0,3.0,453.0,535.0,417.58,415.31318663546017,0.0703987574009872,29.237532271380676,1,Medium-Value,Belgium
12380.0,7.0,641.0,663.0,951.2857142857143,872.6758405866658,0.12444101507068937,108.5966674302718,2,High-Value,Belgium
12381.0,4.0,115.0,120.0,144.14249999999998,204.9378701428554,0.2973548080083127,60.93926102996129,2,High-Value,Norway
12383.0,4.0,168.0,353.0,312.46,334.70568614704416,0.10216638000532938,34.195668320843424,1,Medium-Value,Belgium
12384.0,1.0,93.0,122.0,292.58000000000004,356.1185535982625,0.10129993170498311,36.07478515838136,1,Medium-Value,Switzerland
12386.0,1.0,29.0,367.0,143.0,287.763073764266,0.02921936471691908,8.408254204379777,0,Low-Value,Australia
12388.0,7.0,567.0,583.0,491.3557142857143,479.4900499148996,0.1399250354361535,67.09266222562535,2,High-Value,Australia
12389.0,2.0,253.0,656.0,634.24,550.513051425185,0.03452304882317373,19.005388952146014,1,Medium-Value,Australia
12391.0,4.0,641.0,663.0,515.2574999999999,491.05656271133165,0.07522131413385987,36.93791996120253,1,Medium-Value,Cyprus
12393.0,5.0,356.0,429.0,419.13,417.29817337142106,0.13224681873269617,55.18635589133554,2,High-Value,Australia
12394.0,1.0,154.0,218.0,891.4,629.7689643095459,0.066209187646119,41.69649153167274,1,Medium-Value,Belgium
12394.0,1.0,154.0,218.0,891.4,629.7689643095459,0.066209187646119,41.69649153167274,1,Medium-Value,Denmark
12395.0,13.0,583.0,603.0,303.2176923076923,312.1263825014904,0.24300506337110864,75.84829135956957,2,High-Value,Belgium
12397.0,1.0,100.0,136.0,1195.09,768.5500558377342,0.09394135754132822,72.19863558386037,2,High-Value,Belgium
12399.0,6.0,525.0,645.0,292.72,312.0393903876085,0.10731167116244608,33.48546845100518,1,Medium-Value,Belgium
12402.0,5.0,347.0,671.0,213.04000000000002,250.78142492377543,0.06325587002528822,15.863397219734916,0,Low-Value,Belgium
12403.0,1.0,472.0,522.0,427.70000000000005,417.86606285865565,0.032370505109053704,13.526535522666268,0,Low-Value,Denmark
12406.0,4.0,675.0,698.0,1377.29,1155.6581332529024,0.07176673144860501,82.93780689555723,2,High-Value,Denmark
12407.0,4.0,215.0,265.0,370.455,379.4181164597741,0.1629829033714056,61.838666212324085,2,High-Value,Belgium
12408.0,6.0,466.0,499.0,691.1116666666667,644.5743669590479,0.13895401975891838,89.56619932251985,2,High-Value,Belgium
12409.0,6.0,487.0,566.0,2769.4683333333337,2379.3653861581483,0.12249425119267586,291.45858129121444,2,High-Value,Switzerland
12410.0,1.0,194.0,503.0,693.3299999999999,539.254390899199,0.03014387747135369,16.255218285154925,0,Low-Value,Switzerland
12412.0,5.0,465.0,540.0,385.21,389.89146704241847,0.10858496724405131,42.33635217753612,1,Medium-Value,Denmark
